2016-02-20 15:49:46,755 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\venka\Desktop\project\online-exam\src\test\resources
2016-02-20 16:01:22,730 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:01:22,736 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-02-20 16:01:22,740 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:01:22,744 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\venka\Desktop\project\online-exam\src\test\resources
2016-02-20 16:22:20,510 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:22:20,516 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-02-20 16:22:20,517 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:22:20,524 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\venka\Desktop\project\online-exam\src\test\resources
2016-02-20 16:29:09,001 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:29:09,021 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-02-20 16:29:09,031 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:29:09,036 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\venka\Desktop\project\online-exam\src\test\resources
2016-02-20 16:33:51,205 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:33:51,216 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-02-20 16:33:51,222 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 16:33:51,231 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\venka\Desktop\project\online-exam\src\test\resources
2016-02-20 17:02:41,375 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 17:02:41,386 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-02-20 17:02:41,392 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 17:02:41,396 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\venka\Desktop\project\online-exam\src\test\resources
2016-02-20 17:03:35,847 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 17:03:35,851 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-02-20 17:03:35,852 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 17:03:35,856 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\venka\Desktop\project\online-exam\src\test\resources
2016-02-20 17:05:01,656 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-20 17:05:01,663 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
